House_ID,City,Price,Bedrooms,Square_Footage
1,Austin,450000,3,1800
2,Austin,520000,4,2100
3,Seattle,850000,3,1950
4,Miami,310000,2,1200
5,Austin,410000,3,1750
6,Miami,295000,2,1100
7,Seattle,1200000,5,3500
8,Denver,550000,3,2200
9,Austin,480000,3,1900
10,Miami,320000,2,1300
11,Seattle,950000,4,2800
12,Denver,580000,3,2300
13,Austin,465000,3,1850
14,Miami,340000,3,1400
15,Seattle,1500000,5,4200
16,Denver,600000,4,2500
17,Austin,430000,3,1700
18,Miami,280000,2,1050
19,Seattle,880000,3,2000
20,Denver,530000,3,2150
21,Austin,490000,3,1950
22,Miami,330000,2,1350
23,Seattle,1100000,4,3200
24,Denver,570000,3,2250
25,Austin,440000,3,1750
26,Miami,305000,2,1150
27,Seattle,920000,4,2600
28,Denver,590000,3,2400
29,Austin,475000,3,1880
30,Miami,315000,2,1250
31,Seattle,1800000,6,5000
32,Denver,540000,3,2180
33,Austin,455000,3,1820
34,Miami,350000,3,1500
35,Seattle,860000,3,1980
36,Denver,610000,4,2550
37,Austin,425000,3,1680
38,Miami,270000,2,1000
39,Seattle,910000,4,2580
40,Denver,520000,3,2100
41,Austin,500000,4,2050
42,Miami,325000,2,1320
43,Seattle,1300000,5,3800
44,Denver,560000,3,2220
45,Austin,445000,3,1780
46,Miami,310000,2,1180
47,Seattle,940000,4,2750
48,Denver,595000,3,2450
49,Austin,470000,3,1860
50,Miami,335000,3,1420
51,Seattle,2200000,6,5500
52,Denver,535000,3,2160
53,Austin,460000,3,1840
54,Miami,360000,3,1550
55,Seattle,870000,3,1990
56,Denver,620000,4,2600
57,Austin,420000,3,1650
58,Miami,260000,2,950
59,Seattle,930000,4,2700
60,Denver,525000,3,2120
61,Austin,510000,4,2080
62,Miami,330000,2,1340
63,Seattle,1400000,5,4000
64,Denver,565000,3,2240
65,Austin,448000,3,1790
66,Miami,308000,2,1170
67,Seattle,960000,4,2850
68,Denver,585000,3,2350
69,Austin,468000,3,1855
70,Miami,338000,3,1430
71,Seattle,2500000,7,6000
72,Denver,545000,3,2190
73,Austin,458000,3,1830
74,Miami,355000,3,1520
75,Seattle,855000,3,1970
76,Denver,615000,4,2580
77,Austin,428000,3,1690
78,Miami,275000,2,1020
79,Seattle,925000,4,2650
80,Denver,528000,3,2130
81,Austin,505000,4,2070
82,Miami,328000,2,1330
83,Seattle,1250000,5,3700
84,Denver,568000,3,2260
85,Austin,442000,3,1760
86,Miami,312000,2,1190
87,Seattle,945000,4,2780
88,Denver,598000,3,2480
89,Austin,472000,3,1870
90,Miami,332000,3,1410
91,Seattle,1900000,6,5200
92,Denver,532000,3,2140
93,Austin,462000,3,1845
94,Miami,345000,3,1480
95,Seattle,865000,3,1985
96,Denver,605000,4,2520
97,Austin,422000,3,1660
98,Miami,265000,2,980
99,Seattle,935000,4,2720
100,Denver,522000,3,2110
